mesh_id	disease
MESH:D010146	pain
MESH:D003643	death
MESH:D007239	infection
MESH:D009369	cancer
MESH:D007249	inflammation
MESH:D006973	hypertension
MESH:D064420	toxicity
MESH:D003920	diabetes
MESH:D001943	breast cancer
MESH:D020521	stroke
MESH:D014947	trauma
MESH:D000275	depression
MESH:D009765	obesity
MESH:D011183	NA
MESH:D005334	fever
MESH:D009203	myocardial infarction
MESH:D002318	cardiovascular disease
MESH:D001008	anxiety
MESH:D005221	fatigue
MESH:D000163	AIDS
MESH:D011014	pneumonia
MESH:D000309	insufficient
MESH:D008175	lung cancer
MESH:D006470	bleeding
MESH:D002908	NA
MESH:D015431	weight loss
MESH:D009336	necrosis
MESH:D006333	heart failure
MESH:D001249	asthma
MESH:D014839	vomiting
MESH:D003704	dementia
MESH:D009325	nausea
MESH:D012008	NA
MESH:D029461	SD
MESH:D018805	sepsis
MESH:D000208	NA
MESH:D011471	prostate cancer
MESH:D005355	fibrosis
MESH:D002277	carcinoma
MESH:C535569	psychosocial
MESH:D004195	NA
MESH:D001523	psychiatric
MESH:D009362	metastases
MESH:D003967	diarrhea
MESH:D018450	NA
MESH:D006261	headache
MESH:D000860	hypoxia
MESH:D015746	abdominal pain
MESH:D000740	anemia
MESH:D001172	rheumatoid arthritis
MESH:D012559	schizophrenia
MESH:D005198	FBS
MESH:D004487	edema
MESH:D050197	atherosclerosis
MESH:D012640	fits
MESH:D009223	DM
MESH:D003141	infectious diseases
MESH:D007511	ischemia
MESH:D014376	tuberculosis
MESH:D008545	melanoma
MESH:D015179	colorectal cancer
MESH:D006528	hepatocellular carcinoma
MESH:D003324	coronary artery disease
MESH:D009364	NA
MESH:D007938	leukemia
MESH:D058186	injury
MESH:D020022	NA
MESH:D006331	heart disease
MESH:D018908	weakness
MESH:D001168	arthritis
MESH:D008113	NA
MESH:D010024	osteoporosis
MESH:D004827	epilepsy
MESH:D013927	thrombosis
MESH:D003327	NA
MESH:D001835	NA
MESH:D015430	weight gain
MESH:D000544	Alzheimer's disease
MESH:D010300	PD
MESH:D006816	HD
MESH:D000230	NA
MESH:D008223	lymphoma
MESH:D013274	gastric cancer
MESH:D001284	atrophy
MESH:D009103	multiple sclerosis
MESH:D008659	metabolic syndrome
MESH:D008107	liver disease
MESH:D007022	hypotension
MESH:D051436	chronic kidney disease
MESH:D010195	pancreatic
MESH:D015658	HIV
MESH:D003681	dehydration
MESH:D008207	NA
MESH:D010003	osteoarthritis
MESH:D013921	thrombocytopenia
MESH:D004417	dyspnea
MESH:D051437	renal failure
MESH:D050723	fracture
MESH:D006473	blood loss
MESH:D002637	chest pain
MESH:D003371	cough
MESH:D013577	NA
MESH:D001281	atrial fibrillation
MESH:D008288	malaria
MESH:D006943	hyperglycemia
MESH:D002544	ischemic stroke
MESH:D050171	dyslipidemia
MESH:D063646	carcinogenesis
MESH:D016638	critically ill
MESH:D010190	pancreatic cancer
MESH:D007247	infertility
MESH:D012598	sclerosis
MESH:D048949	labor
MESH:D004067	gastrointestinal tract
MESH:D010051	ovarian cancer
MESH:D003424	Crohn's disease
MESH:D015212	inflammatory bowel disease
MESH:D003924	type 2 diabetes
MESH:D009361	NA
MESH:D001007	anxiety
MESH:D003072	cognitive impairment
MESH:D011507	proteinuria
MESH:D003866	NA
MESH:D011595	agitation
MESH:D006965	hyperplasia
MESH:D011248	NA
MESH:D008607	mental illness
MESH:D012421	rupture
MESH:D006949	hyperlipidemia
MESH:D044342	malnutrition
MESH:D000079225	stress
MESH:D004244	dizziness
MESH:D012878	NA
MESH:D011535	PBS
MESH:D012131	respiratory failure
MESH:D011605	psychosis
MESH:D002294	squamous cell carcinoma
MESH:D006323	arrest
MESH:D001102	viral infection
MESH:D001327	autoimmune diseases
MESH:D003093	ulcerative colitis
MESH:D009422	neurological disorders
MESH:D004342	hypersensitivity
MESH:D017180	VT
MESH:D006509	hepatitis B
MESH:D029424	chronic obstructive pulmonary disease
MESH:D001766	blindness
MESH:D003550	cystic fibrosis
MESH:D013610	tachycardia
MESH:D056486	hepatitis
MESH:D001416	back pain
MESH:D001201	ascites
MESH:D005901	glaucoma
MESH:D009447	neuroblastoma
MESH:D009069	disability
MESH:D006984	hypertrophy
MESH:D001932	NA
MESH:D006406	hematoma
MESH:D002114	calcification
MESH:D014456	ulcer
MESH:D007029	hypothalamus
MESH:D000070642	traumatic brain injury
MESH:D011655	pulmonary embolism
MESH:D012772	septic shock
MESH:D003248	constipation
MESH:D011041	poisoning
MESH:D011125	GS
MESH:D001927	encephalopathy
MESH:D009127	rigidity
MESH:D002386	cataract
MESH:D003092	colitis
MESH:D005910	glioma
MESH:D017093	failure
MESH:D001424	bacterial infections
MESH:D007153	immunodeficiency
MESH:D018198	malignant tumors
MESH:D005909	glioblastoma
MESH:D011565	psoriasis
MESH:D007676	NA
MESH:D000855	anorexia
MESH:D009503	neutropenia
MESH:D062787	overdose
MESH:D006976	pulmonary hypertension
MESH:D007238	infarction
MESH:D003110	NA
MESH:D053632	SCID
MESH:D007319	insomnia
MESH:C000657245	COVID-19
MESH:D010243	paralysis
MESH:D034381	hearing loss
MESH:D000699	analgesia
MESH:D000783	vascular disease
MESH:D001749	bladder cancer
MESH:D000787	angina
MESH:D004194	ionization
MESH:D013313	PTSD
MESH:D008206	lymphadenopathy
MESH:D006937	hypercholesterolemia
MESH:D008581	meningitis
MESH:D005402	fistula
MESH:D006948	hyperactivity
MESH:D009202	cardiomyopathy
MESH:D008103	liver cirrhosis
MESH:D004890	erythema
MESH:D003680	dysphagia
MESH:D019964	mood disorders
MESH:D005076	rash
MESH:D020258	neurotoxicity
MESH:D007003	hypoglycemia
MESH:D019966	substance abuse
MESH:D007680	NA
MESH:D001321	autism
MESH:D010149	postoperative pain
MESH:D013119	spinal cord injury
MESH:D019636	neurodegeneration
MESH:D030342	disordered
MESH:D000437	alcohol abuse
MESH:D005767	gastrointestinal
MESH:D007037	hypothyroidism
MESH:D008180	systemic lupus erythematosus
MESH:D003645	sudden death
MESH:D001859	NA
MESH:D002583	cervical cancer
MESH:D017116	low back pain
MESH:D012516	osteosarcoma
MESH:D001791	platelet aggregation
MESH:D055370	lung injury
MESH:D007565	jaundice
MESH:D014397	pulmonary tuberculosis
OMIM:252500	ICD
MESH:D001919	bradycardia
MESH:D012769	shock
MESH:C537182	IVF
MESH:D014549	incontinence
MESH:D001145	arrhythmia
MESH:D016470	bacteremia
MESH:D002561	cerebrovascular disease
MESH:D001930	NA
MESH:D012509	sarcoma
MESH:C536528	LPS
MESH:D002471	NA
MESH:D004476	dysplasia
MESH:D009140	deformity
MESH:D009207	MJ
